power_type1,order_type,power_type2stance of recipient
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,neutral,neutral
self,attack,enemy,neutral
self,move,,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,move,,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,support,self,enemy
self,attack,enemy,enemy
self,support,self,enemy
self,support,self,enemy
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,attack,enemy,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,attack,enemy,enemy
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,enemy
self,support,self,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,support,self,enemy
self,support,self,enemy
self,support,self,neutral
self,support,enemy,neutral
self,support,enemy,neutral
self,support,self,enemy
self,support,self,enemy
self,support,self,enemy
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,enemy
self,support,self,neutral
self,support,self,neutral
self,support,self,enemy
self,support,self,enemy
self,support,self,enemy
self,attack,enemy,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,attack,enemy,enemy
self,attack,enemy,enemy
